SERIES_NAME;EPISODE_NUMBER;TASK_NUMBER;CANDIDATE_ID;POINTS;WASDISQUALIFIED
Series 1 (UK);6;5;6;4;0	
Series 1 (UK);6;1;7;5;0	
Series 1 (UK);6;2;7;3;0	
Series 1 (UK);6;4;7;3;0	
Series 1 (UK);6;5;7;5;0	
Series 1 (NZ);1;1;10;1;0
Series 1 (NZ);1;2;10;2;0
Series 1 (NZ);1;3;10;1;0
Series 1 (NZ);1;4;10;2;0
Series 1 (NZ);1;5;10;5;0
Series 1 (NZ);1;1;11;5;0
Series 1 (NZ);1;2;11;5;0
Series 1 (NZ);1;3;11;2;0
Series 1 (NZ);1;4;11;1;0
Series 1 (NZ);1;5;11;4;0
Series 1 (NZ);1;1;12;3;0
Series 1 (NZ);1;2;12;4;0
Series 1 (NZ);1;3;12;3;0
Series 1 (NZ);1;4;12;4;0
Series 1 (NZ);1;5;12;0;1
Series 1 (NZ);1;1;13;2;0
Series 1 (NZ);1;2;13;1;0
Series 1 (NZ);1;3;13;5;0
Series 1 (NZ);1;4;13;5;0
Series 1 (NZ);1;5;13;3;0
Series 1 (NZ);1;1;14;4;0
Series 1 (NZ);1;2;14;3;0
Series 1 (NZ);1;3;14;5;0
Series 1 (NZ);1;4;14;3;0
Series 1 (NZ);1;5;14;0;1
Series 1 (NZ);2;1;10;5;0
Series 1 (NZ);2;2;10;1;0
Series 1 (NZ);2;3;10;4;0
Series 1 (NZ);2;4;10;3;0
Series 1 (NZ);2;5;10;4;0
Series 1 (NZ);2;1;11;5;0
Series 1 (NZ);2;2;11;2;0
Series 1 (NZ);2;3;11;0;1
Series 1 (NZ);2;4;11;2;0
Series 1 (NZ);2;5;11;3;0
Series 1 (NZ);2;1;12;1;0
Series 1 (NZ);2;2;12;3;0
Series 1 (NZ);2;3;12;0;1
Series 1 (NZ);2;4;12;1;0
Series 1 (NZ);2;5;12;1;0
Series 1 (NZ);2;1;13;2;0
Series 1 (NZ);2;2;13;4;0
Series 1 (NZ);2;3;13;0;1
Series 1 (NZ);2;4;13;4;0
Series 1 (NZ);2;5;13;5;0
Series 1 (NZ);2;1;14;2;0
Series 1 (NZ);2;2;14;5;0
Series 1 (NZ);2;3;14;5;0
Series 1 (NZ);2;4;14;5;0
Series 1 (NZ);2;5;14;2;0
Series 1 (NZ);3;1;10;3;0
Series 1 (NZ);3;2;10;1;0
Series 1 (NZ);3;4;10;5;0
Series 1 (NZ);3;5;10;0;0
Series 1 (NZ);3;1;11;3;0
Series 1 (NZ);3;2;11;5;0
Series 1 (NZ);3;4;11;2;0
Series 1 (NZ);3;5;11;5;0
Series 1 (NZ);3;1;12;3;0
Series 1 (NZ);3;2;12;3;0
Series 1 (NZ);3;4;12;0;0
Series 1 (NZ);3;5;12;3;0
Series 1 (NZ);3;1;13;3;0
Series 1 (NZ);3;2;13;2;0
Series 1 (NZ);3;4;13;2;0
Series 1 (NZ);3;5;13;1;0
Series 1 (NZ);3;1;14;1;0
Series 1 (NZ);3;2;14;4;0
Series 1 (NZ);3;4;14;3;0
Series 1 (NZ);3;5;14;5;0
Series 1 (NZ);4;1;10;2;0
Series 1 (NZ);4;2;10;2;0
Series 1 (NZ);4;4;10;5;0
Series 1 (NZ);4;5;10;5;0
Series 1 (NZ);4;1;11;3;0
Series 1 (NZ);4;2;11;4;0
Series 1 (NZ);4;4;11;1;0
Series 1 (NZ);4;5;11;0;0
Series 1 (NZ);4;1;12;5;0
Series 1 (NZ);4;2;12;5;0
Series 1 (NZ);4;4;12;3;0
Series 1 (NZ);4;5;12;3;0
Series 1 (NZ);4;1;13;1;0
Series 1 (NZ);4;2;13;1;0
Series 1 (NZ);4;4;13;2;0
Series 1 (NZ);4;5;13;0;0
Series 1 (NZ);4;1;14;4;0
Series 1 (NZ);4;2;14;3;0
Series 1 (NZ);4;4;14;4;0
Series 1 (NZ);4;5;14;2;0
Series 1 (NZ);5;1;10;5;0
Series 1 (NZ);5;2;10;4;0
Series 1 (NZ);5;3;10;4;0
Series 1 (NZ);5;4;10;5;0
Series 1 (NZ);5;5;10;0;1
Series 1 (NZ);5;1;11;3;0
Series 1 (NZ);5;2;11;5;0
Series 1 (NZ);5;3;11;2;0
Series 1 (NZ);5;4;11;4;0
Series 1 (NZ);5;5;11;5;0
Series 1 (NZ);5;1;12;1;0
Series 1 (NZ);5;2;12;2;0
Series 1 (NZ);5;3;12;1;0
Series 1 (NZ);5;4;12;3;0
Series 1 (NZ);5;5;12;4;0
Series 1 (NZ);5;1;13;2;0
Series 1 (NZ);5;2;13;1;0
Series 1 (NZ);5;3;13;3;0
Series 1 (NZ);5;4;13;2;0
Series 1 (NZ);5;5;13;3;0
Series 1 (NZ);5;1;14;4;0
Series 1 (NZ);5;2;14;3;0
Series 1 (NZ);5;3;14;5;0
Series 1 (NZ);5;4;14;1;0
Series 1 (NZ);5;5;14;2;0
Series 1 (NZ);6;1;10;4;0
Series 1 (NZ);6;2;10;5;0
Series 1 (NZ);6;4;10;5;0
Series 1 (NZ);6;5;10;5;0
Series 1 (NZ);6;1;11;1;0
Series 1 (NZ);6;2;11;2;0
Series 1 (NZ);6;4;11;1;0
Series 1 (NZ);6;5;11;1;0
Series 1 (NZ);6;1;12;5;0
Series 1 (NZ);6;2;12;1;0
Series 1 (NZ);6;4;12;3;0
Series 1 (NZ);6;5;12;3;0
Series 1 (NZ);6;1;13;3;0
Series 1 (NZ);6;2;13;3;0
Series 1 (NZ);6;4;13;4;0
Series 1 (NZ);6;5;13;2;0
Series 1 (NZ);6;1;14;2;0
Series 1 (NZ);6;2;14;4;0
Series 1 (NZ);6;4;14;2;0
Series 1 (NZ);6;5;14;4;0
Series 1 (NZ);7;1;10;5;0
Series 1 (NZ);7;2;10;0;1
Series 1 (NZ);7;3;10;5;0
Series 1 (NZ);7;4;10;5;0
Series 1 (NZ);7;5;10;0;0
Series 1 (NZ);7;1;11;1;0
Series 1 (NZ);7;2;11;4;0
Series 1 (NZ);7;3;11;3;0
Series 1 (NZ);7;4;11;2;0
Series 1 (NZ);7;5;11;0;0
Series 1 (NZ);7;1;12;3;0
Series 1 (NZ);7;2;12;1;0
Series 1 (NZ);7;3;12;1;0
Series 1 (NZ);7;4;12;3;0
Series 1 (NZ);7;5;12;0;0
Series 1 (NZ);7;1;13;4;0
Series 1 (NZ);7;2;13;3;0
Series 1 (NZ);7;3;13;3;0
Series 1 (NZ);7;4;13;1;0
Series 1 (NZ);7;5;13;5;0
Series 1 (NZ);7;1;14;2;0
Series 1 (NZ);7;2;14;5;0
Series 1 (NZ);7;3;14;1;0
Series 1 (NZ);7;4;14;4;0
Series 1 (NZ);7;5;14;0;0
Series 1 (NZ);8;1;10;4;0
Series 1 (NZ);8;2;10;3;0
Series 1 (NZ);8;3;10;4;0
Series 1 (NZ);8;4;10;5;0
Series 1 (NZ);8;5;10;5;0
Series 1 (NZ);8;6;10;0;1
Series 1 (NZ);8;1;11;3;0
Series 1 (NZ);8;2;11;2;0
Series 1 (NZ);8;3;11;4;0
Series 1 (NZ);8;4;11;5;0
Series 1 (NZ);8;5;11;1;0
Series 1 (NZ);8;6;11;0;0
Series 1 (NZ);8;1;12;2;0
Series 1 (NZ);8;2;12;4;0
Series 1 (NZ);8;3;12;1;0
Series 1 (NZ);8;4;12;5;0
Series 1 (NZ);8;5;12;1;0
Series 1 (NZ);8;6;12;5;0
Series 1 (NZ);8;1;13;1;0
Series 1 (NZ);8;2;13;2;0
Series 1 (NZ);8;3;13;3;0
Series 1 (NZ);8;4;13;1;0
Series 1 (NZ);8;5;13;1;0
Series 1 (NZ);8;6;13;0;1
Series 1 (NZ);8;1;14;5;0
Series 1 (NZ);8;2;14;5;0
Series 1 (NZ);8;3;14;3;0
Series 1 (NZ);8;4;14;2;0
Series 1 (NZ);8;5;14;2;0
Series 1 (NZ);8;6;14;0;1
Series 1 (NZ);9;1;10;2;0
Series 1 (NZ);9;2;10;5;0
Series 1 (NZ);9;4;10;3;0
Series 1 (NZ);9;5;10;1;0
Series 1 (NZ);9;1;11;4;0
Series 1 (NZ);9;2;11;4;0
Series 1 (NZ);9;4;11;1;0
Series 1 (NZ);9;5;11;4;0
Series 1 (NZ);9;1;12;3;0
Series 1 (NZ);9;2;12;0;1
Series 1 (NZ);9;4;12;3;0
Series 1 (NZ);9;5;12;3;0
Series 1 (NZ);9;1;13;5;0
Series 1 (NZ);9;2;13;3;0
Series 1 (NZ);9;4;13;3;0
Series 1 (NZ);9;5;13;5;0
Series 1 (NZ);9;1;14;1;0
Series 1 (NZ);9;2;14;2;0
Series 1 (NZ);9;4;14;5;0
Series 1 (NZ);9;5;14;2;0
Series 1 (NZ);10;1;10;3;0
Series 1 (NZ);10;2;10;2;0
Series 1 (NZ);10;4;10;0;1
Series 1 (NZ);10;5;10;2;0
Series 1 (NZ);10;1;11;2;0
Series 1 (NZ);10;2;11;1;0
Series 1 (NZ);10;4;11;5;0
Series 1 (NZ);10;5;11;1;0
Series 1 (NZ);10;1;12;4;0
Series 1 (NZ);10;2;12;4;0
Series 1 (NZ);10;4;12;0;1
Series 1 (NZ);10;5;12;3;0
Series 1 (NZ);10;1;13;1;0
Series 1 (NZ);10;2;13;5;0
Series 1 (NZ);10;4;13;0;1
Series 1 (NZ);10;5;13;5;0
Series 1 (NZ);10;1;14;5;0
Series 1 (NZ);10;2;14;3;0
Series 1 (NZ);10;4;14;0;1
Series 1 (NZ);10;5;14;4;0
Series 3 (UK);1;1;15;4;0
Series 3 (UK);1;2;15;4;0
Series 3 (UK);1;3;15;5;0
Series 3 (UK);1;4;15;3;0
Series 3 (UK);1;5;15;5;0
Series 3 (UK);1;1;16;3;0
Series 3 (UK);1;2;16;2;0
Series 3 (UK);1;3;16;0;1
Series 3 (UK);1;4;16;5;0
Series 3 (UK);1;5;16;3;0
Series 3 (UK);1;1;17;1;0
Series 3 (UK);1;2;17;0;0
Series 3 (UK);1;3;17;2;0
Series 3 (UK);1;4;17;1;0
Series 3 (UK);1;5;17;4;0
Series 3 (UK);1;1;18;2;0
Series 3 (UK);1;2;18;5;0
Series 3 (UK);1;3;18;4;0
Series 3 (UK);1;4;18;2;0
Series 3 (UK);1;5;18;2;0
Series 3 (UK);1;1;19;5;0
Series 3 (UK);1;2;19;3;0
Series 3 (UK);1;3;19;3;0
Series 3 (UK);1;4;19;4;0
Series 3 (UK);1;5;19;1;0
Series 3 (UK);2;1;15;3;0
Series 3 (UK);2;2;15;4;0
Series 3 (UK);2;4;15;5;0
Series 3 (UK);2;5;15;1;0
Series 3 (UK);2;6;15;5;0
Series 3 (UK);2;1;16;5;0
Series 3 (UK);2;2;16;3;0
Series 3 (UK);2;4;16;3;0
Series 3 (UK);2;5;16;3;0
Series 3 (UK);2;6;16;3;0
Series 3 (UK);2;1;17;2;0
Series 3 (UK);2;2;17;1;0
Series 3 (UK);2;4;17;2;0
Series 3 (UK);2;5;17;4;0
Series 3 (UK);2;6;17;4;0
Series 3 (UK);2;1;18;4;0
Series 3 (UK);2;2;18;5;0
Series 3 (UK);2;4;18;2;0
Series 3 (UK);2;5;18;5;0
Series 3 (UK);2;6;18;0;0
Series 3 (UK);2;1;19;1;0
Series 3 (UK);2;2;19;2;0
Series 3 (UK);2;4;19;4;0
Series 3 (UK);2;5;19;2;0
Series 3 (UK);2;6;19;2;0
Series 3 (UK);3;1;15;2;0
Series 3 (UK);3;2;15;0;1
Series 3 (UK);3;3;15;1;0
Series 3 (UK);3;4;15;3;0
Series 3 (UK);3;5;15;2;0
Series 3 (UK);3;6;15;1;0
Series 3 (UK);3;1;16;1;0
Series 3 (UK);3;2;16;3;0
Series 3 (UK);3;3;16;4;0
Series 3 (UK);3;4;16;5;0
Series 3 (UK);3;5;16;5;0
Series 3 (UK);3;6;16;3;0
Series 3 (UK);3;1;17;4;0
Series 3 (UK);3;2;17;5;0
Series 3 (UK);3;3;17;5;0
Series 3 (UK);3;4;17;2;0
Series 3 (UK);3;5;17;4;0
Series 3 (UK);3;6;17;2;0
Series 3 (UK);3;1;18;5;0
Series 3 (UK);3;2;18;2;0
Series 3 (UK);3;3;18;3;0
Series 3 (UK);3;4;18;4;0
Series 3 (UK);3;5;18;1;0
Series 3 (UK);3;6;18;4;0
Series 3 (UK);3;1;19;3;0
Series 3 (UK);3;2;19;4;0
Series 3 (UK);3;3;19;1;0
Series 3 (UK);3;4;19;1;0
Series 3 (UK);3;5;19;3;0
Series 3 (UK);3;6;19;5;0
