SERIES_NAME;EPISODE_NUMBER;TASK_NUMBER;DESCRIPTION;ISLIVETASK
Series 1 (NZ);5;5;Spell the longest word using alphabet soup.;1
Series 1 (NZ);6;1;Thing that scares you the most.;1
Series 1 (NZ);6;2;Make the biggest thing disappear.;0
Series 1 (NZ);6;3;Gather your tools and bring them to your area. Transfer as much soup as possible from the blue vat to the yellow vat using only your own tools. You may not leave your area or move the vats.;0
Series 1 (NZ);6;4;Leave the room. Your time started when Paul left the room.;0
Series 1 (NZ);6;5;Wearing your blindfold, pop up before the toast. You may only pop up once. If you pop up after the toast, you will be disqualified.;1
Series 1 (NZ);7;1;Worst thing to show the Taskmaster.;1
Series 1 (NZ);7;2;Find Paul and hit him with this frisbee. You may not walk or run while holding the frisbee. Every time you throw the frisbee, you must put on an additional item of clothing.;0
Series 1 (NZ);7;3;Go on the most convincing fake holiday.;0
Series 1 (NZ);7;4;Convincingly paint the Taskmaster like a 5-year-old.;0
Series 1 (NZ);7;5;Sculpt the third most impressive dog using this clay.;1
Series 1 (NZ);8;1;Most amazing-sounding thing, until you see it.;1
Series 1 (NZ);8;2;Get someone you went to primary school with on the phone.;0
Series 1 (NZ);8;3;Deduce the flavours of these dips.;0
Series 1 (NZ);8;4;Wear the most outlandish costume under your outfit during the studio show for episode 8. Your costume must be completely concealed under your outfit.;0
Series 1 (NZ);8;5;Correctly place the keys back on this keyboard as accurately as possible. You may not leave the room.;0
Series 1 (NZ);8;6;Text a compliment to one of your fellow contestants. You may not text yourself. Everyone who doesn't receive a text is eliminated. Text the Taskmaster. Fastest wins.;1
Series 1 (NZ);9;1;Most poorly-aged thing.;1
Series 1 (NZ);9;2;Completely colour this whiteboard.;0
Series 1 (NZ);9;3;Create the most amusing amusement park ride. Paul must be able to ride the ride.;0
Series 1 (NZ);9;4;Make the most surprisingly pleasant sausage using seven ingredients, one beginning with each letter of the word "sausage".;0
Series 1 (NZ);9;5;Do the most press-ups and/or find the most words in this word search. Each found word is equivalent to two press-ups.;1
Series 1 (NZ);10;1;Best DIY.;1
Series 1 (NZ);10;2;Commit a crime. You may not break the law.;0
Series 1 (NZ);10;3;Handcuff yourselves together at the wrist, then score 10 "points".;0
Series 1 (NZ);10;4;Make the best desert.;0
Series 1 (NZ);10;5;Karate chop the thickest spaghetti log. You have one attempt to cleanly chop your entire log.;1
Series 3 (UK);1;1;Most flamboyant clock.;1
Series 3 (UK);1;2;Get to the microwave in as few steps as possible and open the door before the microwave dings.;0
Series 3 (UK);1;3;Propel this pea the furthest distance. Your pea must land and remain on the red carpet.;0
Series 3 (UK);1;4;Make the best snowman.;0
Series 3 (UK);1;5;Balance your swedes on your Swede. Your Swede must remain standing at all times. Your swedes may only balance on the exterior of your Swede.;1
Series 3 (UK);2;1;Heaviest item that can fit in a shoebox.;1
Series 3 (UK);2;2;Surprise Alex when he emerges from the shed in one hour.;0
Series 3 (UK);2;3;Team Puzzle: Release Alex.;0
Series 3 (UK);2;4;Create the best upside-down self portrait using only the materials supplied. The Taskmaster will judge the picture when it has been rotated 180 degrees.;0
Series 3 (UK);2;5;Pop the balloons.;0
Series 3 (UK);2;6;Unravel a whole roll of sticky tape. Put the unraveled sticky tape in your lunchbox. Close your lunchbox.;1
Series 3 (UK);3;1;Best battery-operated item.;1
Series 3 (UK);3;2;Fill this egg cup with your own sweat.;0
Series 3 (UK);3;3;Make the best domino rally.;0
Series 3 (UK);3;4;Buy a gift for the Taskmaster.;0
Series 3 (UK);3;5;Create the best flag meal.;0
Series 3 (UK);3;6;Anchor these balloons using only bread.;1
